frame_count,timestamp,start_seconds,drone_latitude,drone_longitude,drone_x_m,drone_y_m,rel_alt_m,heading_deg,heading_source,camera_angle_deg,camera_angle_source,ground_distance_m,ground_x_m,ground_y_m,ground_latitude,ground_longitude
1308,2024-06-19 11:35:52.615,43.605,32.103211,35.208094,406.69946630542734,-180.67153355737037,118.4,114.29342442835201,trajectory,60.0,fixed,68.35827187205172,469.1394172424266,-208.4942915140947,32.10296106391281,35.208756168334865
1309,2024-06-19 11:35:52.648,43.639,32.103211,35.208094,406.69946630542734,-180.67153355737037,118.4,114.29342442835201,trajectory,60.0,fixed,68.35827187205172,469.1394172424266,-208.4942915140947,32.10296106391281,35.208756168334865
1310,2024-06-19 11:35:52.682,43.672,32.103207,35.208105,407.73672439235827,-181.11681152088786,118.4,114.29342442835201,trajectory,60.0,fixed,68.35827187205172,470.17667533021205,-208.93956947569444,32.102957063912825,35.20876716833487
1311,2024-06-19 11:35:52.716,43.705,32.103207,35.208105,407.73672439235827,-181.11681152088786,118.4,114.29342442835201,trajectory,60.0,fixed,68.35827187205172,470.17667533021205,-208.93956947569444,32.102957063912825,35.20876716833487
1312,2024-06-19 11:35:52.749,43.739,32.103207,35.208105,407.73672439235827,-181.11681152088786,118.4,114.29342442835201,trajectory,60.0,fixed,68.35827187205172,470.17667533021205,-208.93956947569444,32.102957063912825,35.20876716833487
1313,2024-06-19 11:35:52.782,43.772,32.103203,35.208115,408.67968628918646,-181.56208948369724,118.4,114.29342443103195,trajectory,60.0,fixed,68.35827187205172,471.1196372255406,-209.3848474418692,32.1029530639128,35.208777168334855
1314,2024-06-19 11:35:52.815,43.805,32.103203,35.208115,408.67968628918646,-181.56208948369724,118.4,114.29342443103195,trajectory,60.0,fixed,68.35827187205172,471.1196372255406,-209.3848474418692,32.1029530639128,35.208777168334855
1315,2024-06-19 11:35:52.849,43.839,32.103203,35.208115,408.67968628918646,-181.56208948369724,118.4,114.29342443103195,trajectory,60.0,fixed,68.35827187205172,471.1196372255406,-209.3848474418692,32.1029530639128,35.208777168334855
1316,2024-06-19 11:35:52.883,43.872,32.103199,35.208125,409.6226481866146,-182.00736744721473,118.4,114.29342442969187,trajectory,60.0,fixed,68.35827187205172,472.06259912446836,-209.83012540202125,32.102949063912824,35.208787168334865
1317,2024-06-19 11:35:52.916,43.906,32.103199,35.208125,409.6226481866146,-182.00736744721473,118.4,114.29342442969187,trajectory,60.0,fixed,68.35827187205172,472.06259912446836,-209.83012540202125,32.102949063912824,35.208787168334865
1318,2024-06-19 11:35:52.949,43.939,32.103199,35.208125,409.6226481866146,-182.00736744721473,118.4,114.29342442969187,trajectory,60.0,fixed,68.35827187205172,472.06259912446836,-209.83012540202125,32.102949063912824,35.208787168334865
1319,2024-06-19 11:35:52.982,43.972,32.103196,35.208135,410.56561008344283,-182.3413259194988,118.4,113.74014934043828,trajectory,60.0,fixed,68.35827187205172,473.13945341565176,-209.8616359462683,32.10294878084879,35.20879858824796
1320,2024-06-19 11:35:53.015,44.006,32.103196,35.208135,410.56561008344283,-182.3413259194988,118.4,113.74014934043828,trajectory,60.0,fixed,68.35827187205172,473.13945341565176,-209.8616359462683,32.10294878084879,35.20879858824796
1321,2024-06-19 11:35:53.049,44.039,32.103196,35.208135,410.56561008344283,-182.3413259194988,118.4,113.74014934043828,trajectory,60.0,fixed,68.35827187205172,473.13945341565176,-209.8616359462683,32.10294878084879,35.20879858824796
1322,2024-06-19 11:35:53.086,44.072,32.103192,35.208145,411.50857198147077,-182.78660388230816,118.4,113.74014933912122,trajectory,60.0,fixed,68.35827187205172,474.0824153136797,-210.30691390907768,32.102944780848794,35.20880858824796
