query_dataset,query_frame_count,query_frame_path,dino_reference_dataset,dino_reference_frame_count,dino_position_error_m,temporal_reference_dataset,temporal_reference_frame_count,temporal_reference_frame_path,temporal_rank,temporal_dino_similarity,lg_match_count,lg_inlier_count,lg_inlier_ratio,temporal_position_error_m
v14,2069,data/processed/frames_v14_1fps/frame_000070.jpg,v12,4827,27.90137133401636,v12,4287,data/processed/frames_v12_1fps/frame_000144.jpg,3,0.9795519709587097,305,293,0.9606557377049181,9.284507416589896
v14,2099,data/processed/frames_v14_1fps/frame_000071.jpg,v12,4827,29.4553192506228,v12,4287,data/processed/frames_v12_1fps/frame_000144.jpg,2,0.9801111221313477,299,265,0.8862876254180602,8.233717693992837
v14,2129,data/processed/frames_v14_1fps/frame_000072.jpg,v12,4827,30.945213410520804,v12,4287,data/processed/frames_v12_1fps/frame_000144.jpg,5,0.9752126336097717,296,275,0.9290540540540541,7.329705114891739
v14,2159,data/processed/frames_v14_1fps/frame_000073.jpg,v12,4827,32.589860597022,v12,4287,data/processed/frames_v12_1fps/frame_000144.jpg,6,0.969968855381012,286,271,0.9475524475524476,6.726233862897504
v14,2189,data/processed/frames_v14_1fps/frame_000074.jpg,v12,4827,34.2254906069877,v12,4257,data/processed/frames_v12_1fps/frame_000143.jpg,3,0.9614189863204956,249,227,0.9116465863453815,12.14948152979184
v14,2219,data/processed/frames_v14_1fps/frame_000075.jpg,v12,4827,35.816205351224866,v12,4287,data/processed/frames_v12_1fps/frame_000144.jpg,9,0.9553521275520325,268,236,0.8805970149253731,6.71884435321764
v14,2249,data/processed/frames_v14_1fps/frame_000076.jpg,v12,4827,37.57098433221243,v12,4287,data/processed/frames_v12_1fps/frame_000144.jpg,10,0.9447892308235168,259,217,0.8378378378378378,7.46971649040224
v14,2279,data/processed/frames_v14_1fps/frame_000077.jpg,v12,4827,39.243759371739934,v12,4227,data/processed/frames_v12_1fps/frame_000142.jpg,2,0.9512338638305664,198,173,0.8737373737373737,16.55876414560066
v14,2309,data/processed/frames_v14_1fps/frame_000078.jpg,v12,4227,56.10995352942325,v13,19693,data/processed/frames_v13_1fps/frame_000658.jpg,7,0.9463140368461609,165,150,0.9090909090909091,34.73210253062176
v14,2339,data/processed/frames_v14_1fps/frame_000079.jpg,v13,19663,32.94637865770602,v13,19633,data/processed/frames_v13_1fps/frame_000656.jpg,3,0.95236736536026,119,99,0.8319327731092437,33.13244351937258
